,0
0,Arizona
1,Arkansas
2,Delaware
3,Illinois
4,Indiana
5,Louisiana
6,Massachusetts
7,Montana
8,New Hampshire
9,North Carolina
10,North Dakota
11,Oklahoma
12,Oregon
13,Rhode Island
14,South Carolina
15,South Dakota
16,Tennessee
17,Utah
18,Vermont
19,West Virginia
20,Wisconsin
21,Wyoming
